年分,詳述
1925,由美國本篤會於北京創辦，初期設大學預科名為「北京公教大學附屬輔仁社」
1927,北洋政府准予試辦，並正式將校名改為「輔仁大學」，取《論語》:「以文會友，以友輔仁」之意
1929,國民政府統一全國後，董事會改組呈請教育部正式立案
1933,改由聖言會接辦
1952,因院系調整併入北京師範大學
1956,輔仁大學在臺校友會呼籲復校
1959,教宗若望二十三世任命于斌總主教為首任校長並籌備復校事宜。中國教區神職、聖言會及耶穌會共同參與復校計畫
1960,教育部核准進行籌設
1961,"成立文學院
哲學研究所招生，輔仁大學正式在台復校"
1963,"成立理學院、法學院
設立3學校10系組，大學部招生"
1969,成立商學院、夜間部
1980,成立外語學院
1984,成立藝術學院
1990,成立醫學院
1994,成立民生學院
2003,成立法律學院
2010,"成立傳播學院
成立教育學院"
2012,捷運輔大站通車
2017,"成立織品服裝學院
附設醫院開幕"
